,Iteration,Reward,Epsilon
0,1,0.3333333333333333,0.1
1,2,0.4433333333333333,0.1
2,3,0.5159333333333332,0.1
0,1,0.3333333333333333,0.01
1,2,0.4433333333333333,0.01
2,3,0.5159333333333332,0.01
3,4,0.5638493333333332,0.01
4,5,0.6033800333333332,0.01
5,6,0.6333838346333334,0.01
6,7,0.6587827046903333,0.01
7,8,0.6792395573192933,0.01
8,9,0.6967259044727563,0.01
9,10,0.7113145810697703,0.01
10,11,0.7238990550653598,0.01
11,12,0.7346544153314808,0.01
12,13,0.7440301782582033,0.01
13,14,0.7521922958197383,0.01
14,15,0.7593887230317445,0.01
15,16,0.7657490842944111,0.01
16,17,0.7714210577265269,0.01
17,18,0.7765013577802422,0.01
18,19,0.7810850533170925,0.01
19,20,0.7852433897263188,0.01
20,21,0.7890401027686509,0.01
21,22,0.7925251429595621,0.01
22,23,0.7957415840732716,0.01
23,24,0.7987241317111686,0.01
24,25,0.8015022464199217,0.01
25,26,0.8041000993921856,0.01
26,27,0.8065381156675328,0.01
27,28,0.8088332888846095,0.01
28,29,0.8110000136159641,0.01
29,30,0.8130504201301785,0.01
0,1,0.3333333333333333,0.001
1,2,0.4433333333333333,0.001
2,3,0.5159333333333332,0.001
3,4,0.5638493333333332,0.001
4,5,0.6033800333333332,0.001
5,6,0.6333838346333334,0.001
6,7,0.6587827046903333,0.001
7,8,0.6792395573192933,0.001
8,9,0.6967259044727563,0.001
9,10,0.7113145810697703,0.001
10,11,0.7238990550653598,0.001
11,12,0.7346544153314808,0.001
12,13,0.7440301782582033,0.001
13,14,0.7521922958197383,0.001
14,15,0.7593887230317445,0.001
15,16,0.7657490842944111,0.001
16,17,0.7714210577265269,0.001
17,18,0.7765013577802422,0.001
18,19,0.7810850533170925,0.001
19,20,0.7852433897263188,0.001
20,21,0.7890401027686509,0.001
21,22,0.7925251429595621,0.001
22,23,0.7957415840732716,0.001
23,24,0.7987241317111686,0.001
24,25,0.8015022464199217,0.001
25,26,0.8041000993921856,0.001
26,27,0.8065381156675328,0.001
27,28,0.8088332888846095,0.001
28,29,0.8110000136159641,0.001
29,30,0.8130504201301785,0.001
30,31,0.8149948572224803,0.001
31,32,0.8168421604970756,0.001
32,33,0.8185999476220314,0.001
33,34,0.8202748133486253,0.001
34,35,0.8218725164430563,0.001
35,36,0.8233981154836918,0.001
36,37,0.824856089841802,0.001
37,38,0.8262504323661285,0.001
38,39,0.8275847288177103,0.001
39,40,0.8288622206082843,0.001
40,41,0.8300858575224197,0.001
41,42,0.8312583401371078,0.001
42,43,0.8323821551628394,0.001
43,44,0.8334596042419133,0.001
44,45,0.8344928278990775,0.001
45,46,0.835483825261421,0.001
46,47,0.8364344705075566,0.001
47,48,0.8373465265483864,0.001
48,49,0.8382216565144041,0.001
49,50,0.839061433415061,0.001
50,51,0.8398682471645573,0.001
51,52,0.8406449460052214,0.001
52,53,0.8413931543588329,0.001
53,54,0.8421147017425248,0.001
54,55,0.8428108680323652,0.001
55,56,0.8434829476408172,0.001
56,57,0.8441319889780368,0.001
57,58,0.8447589986082886,0.001
58,59,0.8453648577577841,0.001
59,60,0.8459503985162944,0.001
60,61,0.8465163798333379,0.001
61,62,0.8470635177932186,0.001
62,63,0.8475924806327964,0.001
63,64,0.8481039019023588,0.001
64,65,0.8485983809869577,0.001
65,66,0.8490764894920919,0.001
66,67,0.8495387729478105,0.001
67,68,0.8499857542728515,0.001
68,69,0.8504179354103583,0.001
69,70,0.8508357993972167,0.001
70,71,0.8512398116622331,0.001
71,72,0.8516304213602341,0.001
72,73,0.8520080623483985,0.001
73,74,0.85237315410095,0.001
74,75,0.8527261024407953,0.001
75,76,0.8530673002018654,0.001
76,77,0.8533971277896482,0.001
77,78,0.8537159536866847,0.001
78,79,0.8540241348978612,0.001
79,80,0.8543220173564596,0.001
80,81,0.8546099362930417,0.001
81,82,0.8548882165774581,0.001
82,83,0.8551571730371219,0.001
83,84,0.8554171107570041,0.001
84,85,0.8556683253639299,0.001
85,86,0.855911103298227,0.001
86,87,0.8561457220745128,0.001
87,88,0.8563724505333732,0.001
88,89,0.8565915490850717,0.001
89,90,0.8568032699462973,0.001
90,91,0.8570078573706403,0.001
91,92,0.8572055478733613,0.001
92,93,0.8573965704508544,0.001
93,94,0.8575811467951113,0.001
94,95,0.8577594915034044,0.001
95,96,0.857931812283351,0.001
96,97,0.8580983101534716,0.001
97,98,0.8582591796393235,0.001
98,99,0.8584146089652658,0.001
99,100,0.8585647802418988,0.001
100,101,0.8587098696492066,0.001
101,102,0.8588500476154313,0.001
102,103,0.8589854789916986,0.001
103,104,0.8591163232224204,0.001
104,105,0.8592427345114986,0.001
